Detector module ID,Assembly date,Assembler,FE board number,A0 SM ID,A1 SM ID,Resistance when assembling (Ohms),Kapton foam layers,Assembly location,Cu housing provider,Cu housing ID,Cu housing tool,Thermomaterial applied,DeltaT average at 0.25 A [ºC],RMS DeltaT over 4 sensors,Average LY,Average max(|LO asymmetry|),RU,Resistance at 23ºC,CP Width Bottom before assembly [mm],Width Bottom [mm],Width Bottom Edge [mm],Delta Bottom,CP Width High before assambly [mm],Width High [mm],Width High Edge [mm],Delta Top,A visible gap between copper tabs and SiPM packages (Y/N),All copper tabs 90 degrees (Y/N),Tab is NOT touching glue,"> 0.4 variation in TEC response to bias (Y, value/N)",Comments,Mounted on tray?
32110040004201,17/10/2024,Soham,1862,32110020008404,32110020008413,51.16,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004202,17/10/2024,Thomas,1489,32110020008407,32110020008408,51.43,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004203,17/10/2024,Alex,0437,32110020008406,32110020008409,51.88,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004204,17/10/2024,Ray,1780,32110020008403,32110020008410,53.24,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004205,17/10/2024,Jason,0468,32110020008414,32110020008416,51.99,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004206,30/10/2024,Alex,1802,32110020008454,32110020008480,51.01,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004207,30/10/2024,Jason,0811,32110020008460,32110020008541,51.44,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004208,30/10/2024,Ray,1462,32110020008443,32110020008476,51.39,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004209,30/10/2024,Soham,1625,32110020008475,32110020008534,51.08,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004210,01/11/2024,Jason,0632,32110020008542,32110020008549,51.75,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004211,01/11/2024,Ray,0652,32110020008548,32110020008553,52.56,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004212,01/11/2024,Ludo,1636,32110020008464,32110020008554,51.6,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004213,01/11/2024,Soham,1468,32110020008499,32110020008564,51.45,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004214,05/11/2024,Ray,1594,32110020008450,32110020008461,51.17,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004215,05/11/2024,Thomas,1597,32110020008453,32110020008457,51.59,1,,"used LYSO barcode number, not SM barcode number, supposed to match. can still match SM 423 and SM 452",,,,,,,,,,,,,,,,,,,,,,,
32110040004216,05/11/2024,Jason,1407,32110020008429,32110020008463,52.68,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004217,05/11/2024,Ludovico,1407,32110020008455,32110020008474,51.61,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004218,05/11/2024,Soham,1647,32110020008482,32110020008526,54.15,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004219,07/11/2024,Jason,1517,32110020008423,32110020008452,52.08,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004220,07/11/2024,Soham,1567,32110020008438,32110020008442,52.7,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004221,07/11/2024,Ludovico,1789,32110020008555,32110020008568,52.1,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004222,08/11/2024,Paul,1571,32110020008437,32110020008540,51.06,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004223,14/11/2024,Thomas,1597,32110020008578,32110020008614,51.55,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004224,14/11/2024,Ludovico,1474,32110020008583,32110020008612,52.94,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004225,14/11/2024,Jason,1570,32110020008601,32110020008602,51.77,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004226,14/11/2024,Soham,0640,32110020008510,32110020008596,51.53,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004227,21/11/2024,Ray,1460,32110020008661,32110020008675,50.14,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004228,21/11/2024,Jason,1500,32110020008587,32110020008648,52.32,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004229,21/11/2024,Thomas,0530,32110020008643,32110020008656,50.78,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004230,21/11/2024,Jason,1482,32110020008615,32110020008672,51.7,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004231,21/11/2024,Soham,1496,32110020008457,32110020008671,50.83,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004232,21/11/2024,Thomas,1629,32110020008445,32110020008664,51.07,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004233,21/11/2024,Jason,1788,32110020008467,32110020008551,51.86,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004234,21/11/2024,Paul,0609,32110020008449,32110020008630,51.42,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004235,22/11/2024,Jason,0674,32110020008469,32110020008567,51.72,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004236,22/11/2024,Paul,1490,32110020008468,32110020008653,51.43,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004237,22/11/2024,Thomas,1470,32110020008581,32110020008618,51.9,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004238,22/11/2024,Jason,1437,32110020008430,32110020008676,51.27,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004239,22/11/2024,Paul,1569,32110020008609,32110020008624,51.62,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004240,22/11/2024,Thomas,1841,32110020008402,32110020008652,50.9,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004241,22/11/2024,Ludovico,1588,32110020008606,32110020008659,51.58,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004242,22/11/2024,Paul,0491,32110020008577,32110020008660,51.66,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004243,22/11/2024,Jason,1615,32110020008582,32110020008598,52.71,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004244,22/11/2024,Ludovico,1609,32110020008543,32110020008636,51.8,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004245,05/12/2024,Paul,1867,32110020008595,32110020008598,52.35,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004246,05/12/2024,Paul,0310,32110020008495,32110020008569,58.78,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004247,05/12/2024,Jason,1615,32110020008639,32110020008687,51.25,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004248,11/12/2024,Jason,1603,32110020008479,32110020008565,51.73,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004249,12/12/2024,Jason,0498,32110020008637,32110020008663,51.23,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004250,12/12/2024,Jason,1574,32110020008513,32110020008686,53.03,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004251,13/12/2024,Jason,1866,32110020008459,32110020008638,51.04,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004252,13/12/2024,Jason,1854,32110020008627,32110020008685,52.37,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004253,13/12/2024,Jason,1884,32110020008572,32110020008635,52.4,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004254,16/12/2024,Thomas,1861,32110020008545,32110020008616,52.31,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004255,17/12/2024,Jason,1573,32110020008619,32110020008657,51.51,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004256,17/12/2024,Jason,1577,32110020008424,32110020008631,52.32,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004257,07/01/2025,Jason,1457,32110020008628,32110020008681,51.3,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004258,15/01/2025,Jason,1869,32110020008458,32110020008591,51.66,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004259,15/01/2025,Thomas,1484,32110020008677,32110020008691,50.6,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004260,15/01/2025,Jason,1499,32110020008634,32110020008654,50.98,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004261,15/01/2025,Alex,1485,32110020008560,32110020008646,51.91,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004262,15/01/2025,Jason,1592,32110020008477,32110020008588,51.62,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004263,15/01/2025,Alex,1432,32110020008411,32110020008529,51.82,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004264,15/01/2025,Thomas,1860,32110020008465,32110020008670,51.56,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004265,15/01/2025,Jason,1767,32110020008462,32110020008592,51.6,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004266,16/01/2025,Jason,1650,32110020008622,32110020008678,51.32,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004267,16/01/2025,Alex,1668,32110020008471,32110020008608,50.6,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004268,16/01/2025,Alex,1630,32110020008576,32110020008699,50.69,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004269,16/01/2025,Jason,0642,32110020008644,32110020008692,52.05,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004270,16/01/2025,Thomas,1604,32110020008520,32110020008607,53.03,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004271,16/01/2025,Thomas,1584,32110020008483,32110020008557,51.7,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004272,17/01/2025,Alex,0658,32110020008447,32110020008665,50.86,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004273,22/01/2025,Ray,0646,32110020008640,32110020008689,51.01,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004274,22/01/2025,Ludovico,1568,32110020008415,32110020008683,51.75,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004275,22/01/2025,Ray,1559,32110020008433,32110020008446,53.35,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004276,22/01/2025,Ludovico,0664,32110020008489,32110020008668,50.76,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004277,28/01/2025,Ray,1495,32110020008562,32110020008673,52.16,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004278,29/01/2025,Jason,1516,32110020008552,32110020008645,52.91,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004279,29/01/2025,Jason,1564,32110020008574,32110020008666,52.26,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004280,29/01/2025,Jason,1533,32110020008594,32110020008650,52.01,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004281,29/01/2025,Jason,1560,32110020008538,32110020008684,51.47,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004282,29/01/2025,Jason,0663,32110020008422,32110020008561,51.95,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004283,29/01/2025,A+T,1557,32110020008436,32110020008451,51.54,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004284,29/01/2025,A+T,1623,32110020008589,32110020008694,51.94,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004285,29/01/2025,A+T,1486,32110020008674,32110020008693,51.29,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004286,29/01/2025,A+T,1562,32110020008432,32110020008679,5029,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004287,29/01/2025,Ray,1479,32110020008597,32110020008625,52,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004288,29/01/2025,Ludovico,0525,32110020008599,32110020008667,52.14,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004289,29/01/2025,R+L,1586,32110020008478,32110020008611,51.9,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004290,29/01/2025,R+L,0643,32110020008571,32110020008613,52.4,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004291,29/01/2025,R+L,1583,32110020008490,32110020008507,52.4,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004292,29/01/2025,R+L,0595,32110020008546,32110020008617,52.7,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004293,31/01/2025,A+T,0608,32110020008536,32110020008626,51.71,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004294,31/01/2025,A+T,1454,32110020008435,32110020008658,52.14,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004295,31/01/2025,A+T,1497,32110020008527,32110020008558,52.64,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004296,31/01/2025,A+T,1448,32110020008417,32110020008434,53.67,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004297,31/01/2025,A+T,1589,32110020008473,32110020008539,51.22,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004298,31/01/2025,A+T,1498,32110020008525,32110020008642,51.98,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004299,03/02/2025,Soham,1591,32110020008425,32110020008428,52.7,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004300,03/02/2025,Elise,1579,32110020008466,32110020008535,51.8,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004301,04/02/2025,Ray,1721,32110020008547,32110020008620,51.6,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004302,05/02/2025,Ray,1456,32110020008431,32110020008514,52.55,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004303,06/02/2025,Ludovico,1599,32110020008484,32110020008573,52,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004304,06/02/2025,Ludovico,0613,32110020008440,32110020008669,52.5,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004305,06/02/2025,Ray,1590,32110020008470,32110020008651,50.35,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004307,06/02/2025,Ray,1459,32110020008427,32110020008649,53.2,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004306,06/02/2025,Ludovico,1803,32110020008590,32110020008629,52.13,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004311,06/02/2025,Ludovico,1803,32110020008590,32110020008629,52.13,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004308,06/02/2025,Ludovico,1865,32110020008533,32110020008655,51.85,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004309,10/02/2025,Jason,0661,32110020008448,32110020008563,52.1,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004310,10/02/2025,Elise,0639,32110020008544,32110020008604,52.6,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004312,11/02/2025,Jason,1621,32110020008496,32110020008632,51.94,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004313,06/02/2025,Ludovico,1803,32110020008590,32110020008629,51.97,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004314,12/02/2025,Thomas,0641,32110020008453,32110020008647,51.58,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004315,12/02/2025,Ludovico,1459,32110020008569,32110020008623,51.85,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004316,12/02/2025,Ludovico,0612,32110020008427,32110020008444,51.7,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004317,19/02/2025,Jason,0594,32110020008700,32110020008750,50.08,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004318,19/02/2025,Jason,1649,32110020008735,32110020008737,51.34,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004319,19/02/2025,Ray,0310,32110020008719,32110020008755,51.3,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004320,19/02/2025,Alex,0659,32110020008713,32110020008725,51.49,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004321,19/02/2025,Alex,0802,32110020008730,32110020008751,50.01,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004322,20/02/2025,Ludovico,0611,32110020008703,32110020008740,50.7,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004323,21/02/2025,Jason,1558,32110020008748,32110020008810,50.95,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004324,21/02/2025,Jason,1565,32110020008715,32110020008741,50.35,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004325,21/02/2025,Jason,1626,32110020008784,32110020008796,51.65,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004326,21/02/2025,Jason,1598,32110020008695,32110020008753,51.14,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004327,21/02/2025,Jason,0633,32110020008731,32110020008772,50.27,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004328,24/02/2025,A+T,1595,32110020008702,32110020008808,51.74,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004329,24/02/2025,A+T,0648,32110020008720,32110020008744,51.46,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004330,24/02/2025,A+T,1529,32110020008729,32110020008743,49.68,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004331,24/02/2025,A+T,1576,32110020008736,32110020008756,51.33,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004332,25/02/2025,Jason,1630,32110020008754,32110020008765,51.08,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004333,25/02/2025,Jason,0662,32110020008716,32110020008785,50.34,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004334,25/02/2025,Jason,0635,32110020008708,32110020008757,50.93,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004335,25/02/2025,Jason,1575,32110020008777,32110020008821,51.14,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004336,25/02/2025,Jason,0634,32110020008749,32110020008815,51.12,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004337,25/02/2025,Jason,1561,32110020008717,32110020008745,52.07,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004338,25/02/2025,Alex,1596,32110020008752,32110020008780,51.04,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004339,25/02/2025,Alex,1582,32110020008728,32110020008774,50.94,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004340,26/02/2025,Jason,1585,32110020008804,32110020008826,52.46,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004341,26/02/2025,Jason,0607,32110020008705,32110020008825,51.86,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004342,26/02/2025,Jason,1504,32110020008789,32110020008824,51.33,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004343,26/02/2025,Alex,1600,32110020008781,32110020008818,50.11,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004344,26/02/2025,Alex,1525,32110020008776,32110020008786,51.3,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004345,26/02/2025,Jason,1580,32110020008747,32110020008807,51.03,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004346,26/02/2025,Ray,1894,32110020008723,32110020008816,51.31,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004347,26/02/2025,Ray,0657,32110020008773,32110020008803,51.34,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004348,27/02/2025,Soham,1581,32110020008727,32110020008805,50.77,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004349,27/02/2025,Soham,1769,32110020008707,32110020008820,50.99,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004350,27/02/2025,Jason,1648,32110020008787,32110020008827,51.25,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004351,27/02/2025,Jason,1572,32110020008782,32110020008822,50.65,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004352,27/02/2025,Soham,0369,32110020008706,32110020008767,50.61,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004353,27/02/2025,Ray,0389,32110020008714,32110020008792,51.3,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004354,27/02/2025,Alex,0361,32110020008709,32110020008762,51.38,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004355,27/02/2025,Thomas,1541,32110020008721,32110020008771,51.34,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004356,27/02/2025,Jason,0305,32110020008742,32110020008790,52.45,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004357,27/02/2025,Soham,0404,32110020008722,32110020008814,51.51,1,,,,,,,,,,,,,,,,,,,,,,,,,
